vsd	Id(Mp1)
Step Information: Vsg=0  (Run: 1/13)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-002	1.000000e-014
2.000000000000000e-002	2.000000e-014
3.000000000000000e-002	3.000000e-014
4.000000000000000e-002	4.000000e-014
5.000000000000000e-002	5.000000e-014
6.000000000000001e-002	6.000000e-014
7.000000000000001e-002	7.000000e-014
8.000000000000000e-002	8.000000e-014
9.000000000000000e-002	9.000000e-014
9.999999999999999e-002	1.000000e-013
1.100000000000000e-001	1.100000e-013
1.200000000000000e-001	1.200000e-013
1.300000000000000e-001	1.300000e-013
1.400000000000000e-001	1.400000e-013
1.500000000000000e-001	1.500000e-013
1.600000000000000e-001	1.600000e-013
1.700000000000000e-001	1.700000e-013
1.800000000000000e-001	1.800000e-013
1.900000000000000e-001	1.900000e-013
2.000000000000000e-001	2.000000e-013
2.100000000000001e-001	2.100000e-013
2.200000000000001e-001	2.200000e-013
2.300000000000001e-001	2.300000e-013
2.400000000000001e-001	2.400000e-013
2.500000000000001e-001	2.500000e-013
2.600000000000001e-001	2.600000e-013
2.700000000000001e-001	2.700000e-013
2.800000000000001e-001	2.800000e-013
2.900000000000001e-001	2.900000e-013
3.000000000000001e-001	3.000000e-013
3.100000000000001e-001	3.100000e-013
3.200000000000001e-001	3.200000e-013
3.300000000000001e-001	3.300000e-013
3.400000000000001e-001	3.400000e-013
3.500000000000001e-001	3.500000e-013
3.600000000000002e-001	3.600000e-013
3.700000000000002e-001	3.700000e-013
3.800000000000002e-001	3.800000e-013
3.900000000000002e-001	3.900000e-013
4.000000000000002e-001	4.000000e-013
4.100000000000002e-001	4.100000e-013
4.200000000000002e-001	4.200000e-013
4.300000000000002e-001	4.300000e-013
4.400000000000002e-001	4.400000e-013
4.500000000000002e-001	4.500000e-013
4.600000000000002e-001	4.600000e-013
4.700000000000003e-001	4.700000e-013
4.800000000000003e-001	4.800000e-013
4.900000000000003e-001	4.900000e-013
5.000000000000002e-001	5.000000e-013
5.100000000000002e-001	5.100000e-013
5.200000000000002e-001	5.200000e-013
5.300000000000003e-001	5.300000e-013
5.400000000000003e-001	5.400000e-013
5.500000000000003e-001	5.500000e-013
5.600000000000003e-001	5.600000e-013
5.700000000000003e-001	5.700000e-013
5.800000000000003e-001	5.800000e-013
5.900000000000003e-001	5.900000e-013
6.000000000000003e-001	6.000000e-013
6.100000000000003e-001	6.100000e-013
6.200000000000003e-001	6.200000e-013
6.300000000000003e-001	6.300000e-013
6.400000000000004e-001	6.400000e-013
6.500000000000004e-001	6.500000e-013
6.600000000000004e-001	6.600000e-013
6.700000000000004e-001	6.700000e-013
6.800000000000004e-001	6.800000e-013
6.900000000000004e-001	6.900000e-013
7.000000000000004e-001	7.000000e-013
7.100000000000004e-001	7.100000e-013
7.200000000000004e-001	7.200000e-013
7.300000000000004e-001	7.300000e-013
7.400000000000004e-001	7.400000e-013
7.500000000000004e-001	7.500000e-013
7.600000000000005e-001	7.600000e-013
7.700000000000005e-001	7.700000e-013
7.800000000000005e-001	7.800000e-013
7.900000000000005e-001	7.900000e-013
8.000000000000005e-001	8.000000e-013
8.100000000000005e-001	8.100000e-013
8.200000000000005e-001	8.200000e-013
8.300000000000005e-001	8.300000e-013
8.400000000000005e-001	8.400000e-013
8.500000000000005e-001	8.500000e-013
8.600000000000005e-001	8.600000e-013
8.700000000000006e-001	8.700000e-013
8.800000000000006e-001	8.800000e-013
8.900000000000006e-001	8.900000e-013
9.000000000000006e-001	9.000000e-013
9.100000000000006e-001	9.100000e-013
9.200000000000006e-001	9.200000e-013
9.300000000000006e-001	9.300000e-013
9.400000000000006e-001	9.400000e-013
9.500000000000006e-001	9.500000e-013
9.600000000000006e-001	9.600000e-013
9.700000000000006e-001	9.700000e-013
9.800000000000007e-001	9.800000e-013
9.900000000000007e-001	9.900000e-013
1.000000000000001e+000	1.000000e-012
1.010000000000001e+000	1.010000e-012
1.020000000000001e+000	1.020000e-012
1.030000000000001e+000	1.030000e-012
1.040000000000001e+000	1.040000e-012
1.050000000000001e+000	1.050000e-012
1.060000000000001e+000	1.060000e-012
1.070000000000001e+000	1.070000e-012
1.080000000000001e+000	1.080000e-012
1.090000000000001e+000	1.090000e-012
1.100000000000001e+000	1.100000e-012
1.110000000000001e+000	1.110000e-012
1.120000000000001e+000	1.120000e-012
1.130000000000001e+000	1.130000e-012
1.140000000000001e+000	1.140000e-012
1.150000000000001e+000	1.150000e-012
1.160000000000001e+000	1.160000e-012
1.170000000000001e+000	1.170000e-012
1.180000000000001e+000	1.180000e-012
1.190000000000001e+000	1.190000e-012
1.200000000000000e+000	1.200000e-012
Step Information: Vsg=100m  (Run: 2/13)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-002	1.000000e-014
2.000000000000000e-002	2.000000e-014
3.000000000000000e-002	3.000000e-014
4.000000000000000e-002	4.000000e-014
5.000000000000000e-002	5.000000e-014
6.000000000000001e-002	6.000000e-014
7.000000000000001e-002	7.000000e-014
8.000000000000000e-002	8.000000e-014
9.000000000000000e-002	9.000000e-014
9.999999999999999e-002	1.000000e-013
1.100000000000000e-001	1.100000e-013
1.200000000000000e-001	1.200000e-013
1.300000000000000e-001	1.300000e-013
1.400000000000000e-001	1.400000e-013
1.500000000000000e-001	1.500000e-013
1.600000000000000e-001	1.600000e-013
1.700000000000000e-001	1.700000e-013
1.800000000000000e-001	1.800000e-013
1.900000000000000e-001	1.900000e-013
2.000000000000000e-001	2.000000e-013
2.100000000000001e-001	2.100000e-013
2.200000000000001e-001	2.200000e-013
